topology,traffic,vc_mode,vcs,queues,diameter,bisection,offered_rate,accepted_throughput,avg_latency,max_latency,avg_hops,bg_latency,hot_latency,bg_throughput,hot_throughput,m_generated,m_delivered,unretired,dropped_full,peak_queue,conservation_ok,saturated
mesh,hotnode,baseline_vc2,2,1,6,4,0.3200,0.259328,2121.6795,16964,2.5404,1973.9342,2250.2277,0.122271,0.137057,15370,15069,0,301,1024,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.3600,0.279370,2433.5575,19126,2.5185,2224.4359,2614.0716,0.131797,0.147573,17299,16385,0,914,1024,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.4000,0.295891,2741.8915,20339,2.5028,2528.6053,2929.5521,0.140964,0.154927,19218,17430,0,1788,1024,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.4500,0.313516,3249.8350,23003,2.4938,2938.6134,3528.5998,0.151328,0.162188,21547,18832,0,2715,1024,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.5000,0.335880,3414.4146,24119,2.4760,3002.0069,3791.6811,0.165005,0.170875,24002,20067,0,3935,1024,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.5500,0.355141,3432.8939,24629,2.4621,3248.4841,3603.2946,0.171609,0.183531,26332,20895,0,5437,1024,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.6000,0.372833,3434.7773,25173,2.4313,3202.1595,3647.9901,0.179870,0.192964,28720,21987,0,6733,1024,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.7000,0.377208,4305.6168,27814,2.4336,4051.3909,4540.7123,0.182688,0.194521,33557,24069,0,9488,1024,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.8000,0.384906,4553.4881,28228,2.4290,4377.4084,4717.5608,0.186406,0.198500,38444,24250,0,14194,1024,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.0200,0.019979,8.5746,17,4.2805,8.5217,8.6232,0.009583,0.010396,959,959,0,0,1,1,0
ring,hotnode,vc4_plain,4,1,8,2,0.0500,0.050438,9.2230,27,4.3189,9.0799,9.3528,0.023979,0.026458,2421,2421,0,0,1,1,0
ring,hotnode,vc4_plain,4,1,8,2,0.0800,0.080932,9.7115,34,4.1894,9.4428,9.9417,0.037396,0.043536,3885,3885,0,0,2,1,0
ring,hotnode,vc4_plain,4,1,8,2,0.1100,0.109661,10.3253,41,4.1765,10.0560,10.5593,0.050958,0.058703,5263,5263,0,0,2,1,0
ring,hotnode,vc4_plain,4,1,8,2,0.1400,0.138974,11.4098,63,4.2767,10.9192,11.8243,0.063583,0.075391,6676,6676,0,0,4,1,0
ring,hotnode,vc4_plain,4,1,8,2,0.1700,0.169927,12.8496,100,4.2564,11.7663,13.7853,0.078776,0.091151,8152,8152,0,0,6,1,0
ring,hotnode,vc4_plain,4,1,8,2,0.2000,0.200099,16.1528,450,4.2084,14.3477,17.7295,0.093240,0.106859,9592,9592,0,0,15,1,0
ring,hotnode,vc4_plain,4,1,8,2,0.2400,0.234651,223.7465,5395,4.2711,200.2799,244.1877,0.109307,0.125344,11451,11451,0,0,310,1,0
ring,hotnode,vc4_plain,4,1,8,2,0.2800,0.261740,751.4462,12098,4.2850,695.5214,799.8105,0.122026,0.139714,13449,13449,0,0,763,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.3200,0.274943,1676.5220,14116,4.2650,1552.1360,1784.6035,0.129214,0.145729,15370,15370,0,0,968,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.3600,0.288552,2469.9695,15390,4.2360,2303.7083,2613.7970,0.136250,0.152302,17299,17278,0,21,1024,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.4000,0.292042,3415.1773,17827,4.2669,3153.5431,3643.5502,0.138318,0.153724,19218,18695,0,523,1024,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.4500,0.295401,4471.3974,19575,4.2742,4044.9433,4848.7455,0.144328,0.151073,21547,20068,0,1479,1024,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.5000,0.300448,5210.0791,20768,4.2588,4714.8764,5655.7126,0.149146,0.151302,24002,21144,0,2858,1024,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.5500,0.296687,6112.3087,22340,4.2180,5595.9441,6581.3353,0.147026,0.149661,26332,21732,0,4600,1024,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.6000,0.302276,6642.5655,23217,4.2284,5987.5000,7245.5466,0.152510,0.149766,28720,22270,0,6450,1024,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.7000,0.304172,7701.6910,25379,4.2761,6941.9631,8424.0788,0.155286,0.148885,33557,22704,0,10853,1024,1,1
ring,hotnode,vc4_plain,4,1,8,2,0.8000,0.311771,8400.8730,27010,4.2945,7567.3584,9217.9715,0.159500,0.152271,38444,23126,0,15318,1024,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.0200,0.019979,6.7320,13,2.5683,6.7783,6.6894,0.009583,0.010396,959,959,0,0,1,1,0
mesh,hotnode,vc4_plain,4,1,6,4,0.0500,0.050438,7.1198,20,2.5547,6.9357,7.2866,0.023979,0.026458,2421,2421,0,0,1,1,0
mesh,hotnode,vc4_plain,4,1,6,4,0.0800,0.080927,7.6214,25,2.5598,7.1562,8.0201,0.037385,0.043542,3885,3885,0,0,1,1,0
mesh,hotnode,vc4_plain,4,1,6,4,0.1100,0.109693,8.1691,50,2.5109,7.1864,9.0231,0.051010,0.058682,5263,5263,0,0,1,1,0
mesh,hotnode,vc4_plain,4,1,6,4,0.1400,0.139005,8.9503,63,2.5448,7.3981,10.2614,0.063646,0.075359,6676,6676,0,0,1,1,0
mesh,hotnode,vc4_plain,4,1,6,4,0.1700,0.169781,10.3805,179,2.5213,7.5461,12.8288,0.078703,0.091078,8152,8152,0,0,4,1,0
mesh,hotnode,vc4_plain,4,1,6,4,0.2000,0.199865,16.5201,1383,2.5353,11.2080,21.1600,0.093167,0.106698,9592,9592,0,0,38,1,0
mesh,hotnode,vc4_plain,4,1,6,4,0.2400,0.227042,426.6612,11889,2.5496,387.2514,460.9902,0.105813,0.121229,11451,11451,0,0,649,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.2800,0.248807,1078.6241,14295,2.5328,939.5065,1198.9343,0.116656,0.132151,13449,13449,0,0,982,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.3200,0.266875,1775.8169,17079,2.5455,1642.6157,1891.5683,0.125807,0.141068,15370,15137,0,233,1024,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.3600,0.286354,2033.4711,17158,2.5191,1855.5894,2187.0816,0.134620,0.151734,17299,16403,0,896,1024,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.4000,0.304557,2442.6881,18705,2.5126,2241.0904,2619.6512,0.144651,0.159906,19218,17580,0,1638,1024,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.4500,0.323875,2773.3280,21336,2.4964,2501.0275,3017.5537,0.155922,0.167953,21547,18895,0,2652,1024,1,1
